title,Paper,filename,citation,in_text_citation
Distinguishing bulk redox from near-surface degradation in lithium nickel oxide cathodes,https://pubs.rsc.org/en/content/articlelanding/2024/ee/d4ee02398f,d4ee02398f.pdf,"An, L., Swallow, J. E. N., Cong, P., Zhang, R., Poletayev, A. D., Bjrklund, E., Didwal, P. N., Fraser, M. W., Jones, L. A. H., Phelan, C. M. E., Ramesh, N., Harris, G., Sahle, C. J., Ferrer, P., Grinter, D. C., Bencok, P., Hayama, S., Islam, M. S., House, R., … Weatherup, R. S. (2024). Distinguishing bulk redox from near-surface degradation in lithium nickel oxide cathodes. In Energy & Environmental Science (Vol. 17, Issue 21, pp. 8379–8391). Royal Society of Chemistry (RSC). https://doi.org/10.1039/d4ee02398f","(An et al., 2024)"
"Electrochemical and Structural Study of the Layered, “Li-Excess”
Lithium-Ion Battery Electrode Material Li[Li1/9Ni1/3Mn5/9]O2",https://pubs.acs.org/doi/10.1021/cm900279u,electrochemical-and-structural-study-of-the-layered-li-excess-lithium-ion-battery-electrode-material-li.pdf,"Jiang M., Key K., Meng Y.-S., and Grey C.-P. Chem. Mater. 2009, 21, 2733–2745.  https://doi.org/10.1021/cm900279u.",(Jiang et al. 2009)
Hard X-ray spectroscopic methods using emitted X-ray to understand charge compensation in positive electrode materials for lithium-ion batteries,https://www.sciencedirect.com/science/article/pii/S0378775319306925?via%3Dihub,Hard X Ray to understand charge compensation in cathodes.pdf,"Nishimura, Y.-F. et al. Journal of Power Sources 434 (2019) 226721. https://doi.org/10.1016/j.jpowsour.2019.226721.",(Nishimura et al. 2019)
"Understanding the Role of Ni in Stabilizing the Lithium Rich Cathode Material, Li[Nixli(1-2x)/3Mn(2-x)/3]O2 (0 ≤x≤0.5)",https://iopscience.iop.org/article/10.1149/MA2014-01/2/309,hy-et-al-2014-understanding-the-role-of-ni-in-stabilizing-the-lithium-rich-high-capacity-cathode-material-li-nixli(1.pdf,"Hy, S., Cheng, J.-H., Pan, C.-J., Chen, J.-M., & Hwang, B.-J. (2014). Understanding the Role of Ni in Stabilizing the Lithium Rich Cathode Material, Li[Nixli(1-2x)/3Mn(2-x)/3]O2 (0 ≤x≤0.5). In ECS Meeting Abstracts (Vols. MA2014-01, Issue 2, pp. 309–309). The Electrochemical Society. https://doi.org/10.1149/ma2014-01/2/309","(Hy et al., 2014)"
Insights on the Stabilization of Nickel-Rich Cathode Surfaces: Evidence of Inherent Instabilities in the Presence of Conformal Coatings,https://pubs.acs.org/doi/10.1021/acs.chemmater.8b04332,Insights on the Stabilization of Nickel-Rich Cathode Surfaces.pdf,"Croy, J. R., OHanlon, D. C., Sharifi-Asl, S., Murphy, M., Mane, A., Lee, C.-W., Trask, S. E., Shahbazian-Yassar, R., & Balasubramanian, M. (2019). Insights on the Stabilization of Nickel-Rich Cathode Surfaces: Evidence of Inherent Instabilities in the Presence of Conformal Coatings. In Chemistry of Materials (Vol. 31, Issue 11, pp. 3891–3899). American Chemical Society (ACS). https://doi.org/10.1021/acs.chemmater.8b04332","(Croy et al., 2019)"
Nickel K-edge x-ray absorption fine structure of lithium nickel oxides,https://pubs.acs.org/doi/10.1021/ja00063a035,jacobson-et-al-2002-nickel-k-edge-x-ray-absorption-fine-structure-of-lithium-nickel-oxides.pdf,"Pickering, I. J., George, G. N., Lewandowski, J. T., & Jacobson, A. J. (1993). Nickel K-edge x-ray absorption fine structure of lithium nickel oxides. In Journal of the American Chemical Society (Vol. 115, Issue 10, pp. 4137–4144). American Chemical Society (ACS). https://doi.org/10.1021/ja00063a035","(Pickering et al., 1993)"
Monitoring Redox Processes in Lithium-Ion Batteries by Laboratory-Scale Operando X‐ray Emission Spectroscopy,https://pubs.acs.org/doi/10.1021/acsami.3c18424,krishnan-et-al-2024-monitoring-redox-processes-in-lithium-ion-batteries-by-laboratory-scale-operando-x-ray-emission.pdf,"Krishnan, A., Lee, D.-C., Slagle, I., Ahsan, S., Mitra, S., Read, E., & Alamgir, F. M. (2024). Monitoring Redox Processes in Lithium-Ion Batteries by Laboratory-Scale Operando X-ray Emission Spectroscopy. In ACS Applied Materials & Interfaces (Vol. 16, Issue 13, pp. 16096–16105). American Chemical Society (ACS). https://doi.org/10.1021/acsami.3c18424","(Krishnan et al., 2024)"
Soft X-ray Absorption Spectroscopic Investigation of Li(Ni0.8Co0.1Mn0.1)O2 Cathode Materials,https://www.mdpi.com/2079-4991/10/4/759,nanomaterials-10-00759.pdf,"Singh, J. P., Park, J. Y., Chae, K. H., Ahn, D., & Lee, S. (2020). Soft X-ray Absorption Spectroscopic Investigation of Li(Ni0.8Co0.1Mn0.1)O2 Cathode Materials. In Nanomaterials (Vol. 10, Issue 4, p. 759). MDPI AG. https://doi.org/10.3390/nano10040759","(Singh et al., 2020)"
"Role of transition metals in layered Li[Ni,Co,Mn]O2
under electrochemical operation",https://www.sciencedirect.com/science/article/pii/S0013468604003421#!,Role of transition metals in layered oxides under electrochemical operation.pdf,"J.-M. Kim, H.-T. Chung / Electrochimica Acta 49 (2004) 3573–3580. https://doi.org/10.1016/j.electacta.2004.03.025","(Kim et al., 2004)"
"Supporting Information for Adv. Energy Mater., DOI: 10.1002/aenm.201904092",https://advanced.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Faenm.201904092&file=aenm201904092-sup-0001-SuppMat.pdf,SI_Unraveling the Rapid Redox Behavior of Li‐Excess 3d‐Transition Metal Oxides for.pdf,"Jin, W., Myeong, S., Hwang, J., Jang, H., Sung, J., Yoo, Y., Kim, M. G., & Cho, J. (2020). Unraveling the Rapid Redox Behavior of Li‐Excess 3d‐Transition Metal Oxides for High Rate Capability. In Advanced Energy Materials (Vol. 10, Issue 17). Wiley. https://doi.org/10.1002/aenm.201904092","(Jin et al., 2020)"
Strain-Induced Stabilization of Charged State in Li-Rich Layered Transition-Metal Oxide for Lithium-Ion Batteries,https://pubs.acs.org/doi/10.1021/acs.jpcc.8b03205,Strain-Induced Stabilization of Charged State in Li-Rich Layered Transition-Metal Oxide for Lithium-Ion Batteries.pdf,"Kawaguchi, T., Sakaida, M., Oishi, M., Ichitsubo, T., Fukuda, K., Toyoda, S., & Matsubara, E. (2018). Strain-induced stabilization of charged state in Li-rich layered transition-metal oxide for lithium-ion batteries. The Journal of Physical Chemistry C, 122(34), 19298–19308. https://doi.org/10.1021/acs.jpcc.8b03205","(Kawaguchi et al., 2018)"
Structural investigation of Li1−xNi0.5Co0.25Mn0.25O2 by in situ XAS and XRD measurements,https://www.sciencedirect.com/science/article/pii/S0013468607010444,Structural investigation of NMC by in situ XAS.pdf,"Liao, P.-Y., Duh, J.-G., Lee, J.-F., & Sheu, H.-S. (2007). Structural investigation of Li1−xNi0.5Co0.25Mn0.25O2 by in situ XAS and XRD measurements. In Electrochimica Acta (Vol. 53, Issue 4, pp. 1850–1857). Elsevier BV. https://doi.org/10.1016/j.electacta.2007.08.045","(Liao et al., 2007)"
Nickel-rich Nickel Manganese Cobalt (NMC622) Cathode Lithiation Mechanism and Extended Cycling Effects Using Operando X-ray Absorption Spectroscopy,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.0c08095,tallman-et-al-2020-nickel-rich-nickel-manganese-cobalt-(nmc622)-cathode-lithiation-mechanism-and-extended-cycling.pdf,"Tallman, K. R., Wheeler, G. P., Kern, C. J., Stavitski, E., Tong, X., Takeuchi, K. J., Marschilok, A. C., Bock, D. C., & Takeuchi, E. S. (2020). Nickel-rich Nickel Manganese Cobalt (NMC622) Cathode Lithiation Mechanism and Extended Cycling Effects Using Operando X-ray Absorption Spectroscopy. In The Journal of Physical Chemistry C (Vol. 125, Issue 1, pp. 58–73). American Chemical Society (ACS). https://doi.org/10.1021/acs.jpcc.0c08095","(Tallman et al., 2020)"
Unraveling the Rapid Redox Behavior of Li-Excess 3d-Transition Metal Oxides for High Rate Capability,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.201904092,Unraveling the Rapid Redox Behavior of Li‐Excess 3d‐Transition Metal Oxides for.pdf,"Jin, W., Myeong, S., Hwang, J., Jang, H., Sung, J., Yoo, Y., Kim, M. G., & Cho, J. (2020). Unraveling the Rapid Redox Behavior of Li‐Excess 3d‐Transition Metal Oxides for High Rate Capability. In Advanced Energy Materials (Vol. 10, Issue 17). Wiley. https://doi.org/10.1002/aenm.201904092","(Jin et al., 2020)"
Operando multi-edge XAS to unlock the effect of Co in Li- and Mn-rich NMC Li-ion cathodes,https://www.researchsquare.com/article/rs-4844249/v1,v1_covered_abf78efe-51b4-4f4b-9c65-5407649ed52a.pdf,"Simonelli, L., Usoltsev, O., Ali, S., Sorrentino, A., Kuenzel, M., Bresser, D., Choi, H., Passerini, S., & Tonti, D. (2024). Operando multi-edge XAS to unlock the effect of Co in Li- and Mn-rich NMC Li-ion cathodes. Springer Science and Business Media LLC. https://doi.org/10.21203/rs.3.rs-4844249/v1","(Simonelli et al., 2024)"
XAS Investigation of Inhomogeneous Metal-Oxygen Bond Covalency in Bulk and Surface for Charge Compensation in Li-Ion Battery Cathode Li [ Ni1 ∕ 3Co1 ∕ 3Mn1 ∕ 3 ] O2 Material,https://iopscience.iop.org/article/10.1149/1.1926647,XAS Investigation of inhomogeneous Metal-Oxygen bond covalency in bulk and surface for NMC.pdf,"Kim, M. G., Shin, H. J., Kim, J.-H., Park, S.-H., & Sun, Y.-K. (2005). XAS Investigation of Inhomogeneous Metal-Oxygen Bond Covalency in Bulk and Surface for Charge Compensation in Li-Ion Battery Cathode Li[Ni[sub 1∕3]Co[sub 1∕3]Mn[sub 1∕3]]O[sub 2] Material. In Journal of The Electrochemical Society (Vol. 152, Issue 7, p. A1320). The Electrochemical Society. https://doi.org/10.1149/1.1926647","(Kim et al., 2005)"
Investigation of the Charge Compensation Mechanism on the Electrochemically Li-Ion Deintercalated Li1-xCo1/3Ni1/3Mn1/3O2 Electrode System by Combination of Soft and Hard X-ray Absorption Spectroscopy,https://pubs.acs.org/doi/full/10.1021/ja0530568 ,yoon-et-al-2005-investigation-of-the-charge-compensation-mechanism-on-the-electrochemically-li-ion-deintercalated-li1.pdf,"Yoon, W.-S., Balasubramanian, M., Chung, K. Y., Yang, X.-Q., McBreen, J., Grey, C. P., & Fischer, D. A. (2005). Investigation of the charge compensation mechanism on the electrochemically li-ion deintercalated li1-xco1/3ni1/3mn1/3O2 electrode system by combination of soft and hard X-ray absorption spectroscopy. Journal of the American Chemical Society, 127(49), 17479–17487. https://doi.org/10.1021/ja0530568","(Yoon et al., 2005)"
"Understanding and Exploiting Anion Redox Process for High Energy Density
Positive Electrode Materials for Li-ion Batteries",https://dspace.mit.edu/handle/1721.1/138998,yu-yuy-phd-dmse-2021-thesis.pdf,"Yu, Y. Understanding and Exploiting Anion Redox Process for High Energy Density Positive Electrode
Materials for Li-ion Batteries, 2021.","(Yu, 2021)"
